epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1828.89,1.10545,1.4717,1.52065,0.82156,0.71391,0.81174,0.66269,1.18023,1.10682,1.68213,0.000900844,0.000900844,0.000900844
43,1878.05,1.11033,1.48239,1.51894,0.85454,0.71263,0.82031,0.66843,1.15893,1.07724,1.67404,0.000896127,0.000896127,0.000896127
44,1928.65,1.10685,1.4549,1.53025,0.84477,0.70678,0.81454,0.66257,1.16862,1.04472,1.66372,0.000891313,0.000891313,0.000891313
45,1976.84,1.09962,1.4399,1.51247,0.85076,0.70421,0.81051,0.66308,1.15311,1.06832,1.67266,0.000886404,0.000886404,0.000886404
46,2024.81,1.11794,1.48039,1.53808,0.83772,0.72899,0.82723,0.6724,1.15241,1.01454,1.66821,0.000881401,0.000881401,0.000881401
47,2072.58,1.09947,1.45877,1.52328,0.86086,0.69771,0.81973,0.67412,1.15124,1.03845,1.65767,0.000876305,0.000876305,0.000876305
48,2120.75,1.09531,1.43672,1.51361,0.8282,0.72109,0.82255,0.67443,1.13627,1.06248,1.63696,0.000871117,0.000871117,0.000871117
49,2172.64,1.08312,1.41511,1.4874,0.86431,0.72362,0.82952,0.67665,1.12582,1.05253,1.64954,0.000865839,0.000865839,0.000865839
50,2220.24,1.08733,1.42799,1.49692,0.87314,0.72257,0.83062,0.68307,1.14437,0.9892,1.64516,0.000860473,0.000860473,0.000860473
51,2267.97,1.11387,1.43316,1.51701,0.84322,0.73773,0.82988,0.67807,1.14911,1.03667,1.63901,0.000855018,0.000855018,0.000855018
52,2315.77,1.07446,1.40233,1.48783,0.84014,0.72282,0.82463,0.67788,1.13538,1.04462,1.65028,0.000849477,0.000849477,0.000849477
53,2363.44,1.08868,1.41384,1.49666,0.85213,0.72866,0.82968,0.68326,1.11777,1.01707,1.63902,0.000843851,0.000843851,0.000843851
