epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,8018.96,0.76613,0.71499,1.34118,0.84197,0.82519,0.88981,0.75706,0.91626,0.67225,1.42613,6.7536e-05,6.7536e-05,6.7536e-05
171,8061.82,0.76178,0.70258,1.32409,0.8373,0.82584,0.8894,0.75572,0.91886,0.68159,1.42624,6.39518e-05,6.39518e-05,6.39518e-05
172,8104.71,0.76388,0.71571,1.33653,0.85281,0.80874,0.88722,0.75572,0.90963,0.68939,1.42189,6.04763e-05,6.04763e-05,6.04763e-05
173,8147.68,0.75739,0.71401,1.33834,0.81888,0.84278,0.88871,0.75636,0.90927,0.67942,1.42198,5.71106e-05,5.71106e-05,5.71106e-05
174,8190.61,0.76083,0.7092,1.32925,0.81307,0.84448,0.88774,0.75662,0.90789,0.6793,1.41541,5.38554e-05,5.38554e-05,5.38554e-05
175,8233.49,0.74937,0.71402,1.32726,0.85177,0.81045,0.88936,0.75599,0.90883,0.67474,1.42084,5.07115e-05,5.07115e-05,5.07115e-05
176,8276.47,0.75065,0.70019,1.31405,0.8304,0.82904,0.88879,0.7575,0.89673,0.67058,1.41619,4.76796e-05,4.76796e-05,4.76796e-05
177,8319.26,0.75881,0.7164,1.32927,0.84261,0.8169,0.88689,0.75615,0.90643,0.67637,1.41649,4.47606e-05,4.47606e-05,4.47606e-05
178,8362.27,0.75713,0.69436,1.32606,0.82575,0.83268,0.88778,0.75795,0.90456,0.68007,1.41821,4.19552e-05,4.19552e-05,4.19552e-05
179,8406.41,0.76084,0.70387,1.33404,0.82838,0.83089,0.88796,0.75879,0.90439,0.67728,1.41847,3.9264e-05,3.9264e-05,3.9264e-05
180,8450.26,0.75905,0.70965,1.32737,0.83738,0.82694,0.88812,0.75885,0.90413,0.67387,1.41685,3.66877e-05,3.66877e-05,3.66877e-05
181,8494.19,0.74771,0.70929,1.32448,0.83107,0.83664,0.88787,0.75889,0.89589,0.68179,1.41227,3.4227e-05,3.4227e-05,3.4227e-05
182,8538.13,0.75058,0.70702,1.31691,0.84741,0.82192,0.8888,0.75985,0.89954,0.67653,1.4153,3.18825e-05,3.18825e-05,3.18825e-05
183,8587.25,0.75757,0.70905,1.32641,0.8468,0.82153,0.8882,0.75878,0.90176,0.67803,1.41798,2.96546e-05,2.96546e-05,2.96546e-05
184,8641.11,0.7549,0.72394,1.32708,0.84955,0.82144,0.88849,0.7604,0.89575,0.67828,1.41349,2.75441e-05,2.75441e-05,2.75441e-05
185,8688.41,0.74018,0.69215,1.31872,0.81935,0.84227,0.8874,0.7605,0.89154,0.67562,1.41086,2.55513e-05,2.55513e-05,2.55513e-05
186,8731.85,0.76648,0.71164,1.33715,0.83203,0.82459,0.88631,0.7585,0.8977,0.67874,1.41694,2.36769e-05,2.36769e-05,2.36769e-05
187,8775.27,0.75148,0.70838,1.33084,0.83097,0.83102,0.88708,0.75932,0.8983,0.67832,1.41748,2.19212e-05,2.19212e-05,2.19212e-05
188,8818.98,0.75562,0.69548,1.32627,0.83312,0.82991,0.88793,0.75863,0.89717,0.67718,1.4188,2.02847e-05,2.02847e-05,2.02847e-05
189,8862.62,0.74297,0.69597,1.3181,0.81793,0.8443,0.88794,0.75827,0.89715,0.67645,1.41537,1.87678e-05,1.87678e-05,1.87678e-05
190,8906.47,0.73942,0.69211,1.30238,0.81538,0.85124,0.88699,0.76025,0.89054,0.67913,1.40858,1.73709e-05,1.73709e-05,1.73709e-05
191,8950.38,0.74836,0.68672,1.31818,0.82064,0.83952,0.8869,0.75965,0.89106,0.68493,1.41191,1.60943e-05,1.60943e-05,1.60943e-05
192,8993.95,0.75385,0.70037,1.32344,0.82968,0.83482,0.88751,0.75923,0.89309,0.68568,1.41301,1.49383e-05,1.49383e-05,1.49383e-05
193,9037.64,0.73775,0.70413,1.31544,0.83341,0.82753,0.88708,0.7588,0.89622,0.67783,1.41447,1.39032e-05,1.39032e-05,1.39032e-05
194,9081.57,0.74982,0.70235,1.31673,0.83531,0.82561,0.88777,0.75971,0.89639,0.67854,1.41411,1.29893e-05,1.29893e-05,1.29893e-05
195,9125.5,0.75803,0.71024,1.33014,0.82685,0.83803,0.88739,0.75908,0.89732,0.68194,1.41332,1.21968e-05,1.21968e-05,1.21968e-05
196,9169.15,0.76346,0.69948,1.33256,0.82148,0.83845,0.88856,0.75974,0.89112,0.68354,1.40842,1.15259e-05,1.15259e-05,1.15259e-05
197,9212.51,0.76074,0.71397,1.32936,0.81417,0.84958,0.88829,0.75974,0.89307,0.68354,1.40952,1.09768e-05,1.09768e-05,1.09768e-05
198,9256.4,0.7486,0.68901,1.32074,0.81346,0.85114,0.88785,0.75972,0.89217,0.68164,1.40847,1.05495e-05,1.05495e-05,1.05495e-05
199,9312.05,0.74954,0.70391,1.32037,0.83317,0.83253,0.88839,0.75959,0.8917,0.68339,1.41029,1.02443e-05,1.02443e-05,1.02443e-05
200,9363.64,0.74649,0.69405,1.31805,0.82916,0.83965,0.88915,0.75992,0.89269,0.6815,1.41112,1.00611e-05,1.00611e-05,1.00611e-05
